Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
fishing,Calf bitten by hooked shark PROVOKED INCIDENT,non-fatal,other,51,Adult,,,,,,
snorkeling,Foot bitten,non-fatal,whaler shark,10,Child,,,,,,
fishing,Presumed fatal  PROVOKED INCIDENT,fatal,other,,Unknown,,,,,,
swimming,Minor injuries to foot and ankle,non-fatal,other,26,Young Adult,,,,,,
fishing,Lacerations to right hand and forearm,non-fatal,other,48,Adult,,,,,,
surfing,FATAL,fatal,white shark,59,Adult,,,,,,
other,2- to 3-inch cuts to posterior thigh,non-fatal,tiger shark,35,Young Adult,,,,,,
wading,Nick on foot,non-fatal,other,21,Young Adult,,,,,,
surfing,Lacerations to shin and calf,non-fatal,other,14,Teen,,,,,,
fishing,FATAL,fatal,other,53,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,64,Senior,,,,,,
paddle,FATAL,fatal,other,53,Adult,,,,,,
swimming,Puncture wound to knee,non-fatal,tiger shark,57,Adult,,,,,,
other,"No injury to occupants, shark bit boat after being tagged",non-fatal,mako shark,,Unknown,,,,,,
fishing,Minor injury to head,non-fatal,other,38,Adult,,,,,,
other,FATAL,fatal,white shark,38,Adult,,,,,,
swimming,1-inch cut to leg,non-fatal,other,36,Adult,,,,,,
fishing,Injury to calf,non-fatal,bull shark,27,Young Adult,,,,,,
swimming,,non-fatal,other,10,Child,,,,,,
swimming,Lacerations to right hand,non-fatal,other,7,Child,,,,,,
surfing,Left shoulder bitten,non-fatal,other,9,Child,,,,,,
paddle,"No injury, board bitten",non-fatal,whaler shark,75,Senior,,,,,,
wading,Left forearm bitten,non-fatal,other,20,Young Adult,,,,,,
fishing,Left leg bitten,non-fatal,tiger shark,16,Teen,,,,,,
swimming,Right leg bitten but death due to heart attack,fatal,tiger shark,57,Adult,,,,,,
fishing,Superficial wound       PROVOKED INCIDENT,non-fatal,bull shark,,Unknown,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,other,,Unknown,,,,,,
surfing,"No injury, surf ski bitten",non-fatal,whaler shark,17,Teen,,,,,,
kayaking,"No injury, kayak bitten",non-fatal,white shark,,Unknown,,,,,,
swimming,Puncture wounds to foot,non-fatal,other,46,Adult,,,,,,
swimming,Minor puncture wound to arm,non-fatal,other,61,Senior,,,,,,
